uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A8I6A123,Ecpas,-0.00398,0.00854,Cytoskeleton
A0A8I6A140,Klhl13,0.01151,0.01042,Other
A0A8I6A147,Plin3,-0.02739,-0.00505,Other
A0A8I6A183,Ccar1,-0.01713,-0.01854,Nucleus
A0A8I6A1C4,Shprh,0.01131,0.00937,Nucleus
A0A8I6A1C9,Fhl3,-0.00945,0.00352,Cytoskeleton
A0A8I6A1D9,Use1,0.00478,0.00718,Nucleus
A0A8I6A1F6,Nhsl2,-0.01686,0.00383,Other
A0A8I6A1K0,Slc4a1ap,-0.00821,0.00399,Other
A0A8I6A1U8,Sucla2,0.01606,0.00867,Mitochondrion
A0A8I6A1V7,Plekha7,-3e-4,0.0085,Cytoskeleton
A0A8I6A1Z5,Tmx1,0.01531,0.01473,Mitochondrion
A0A8I6A254,Mrpl15,0.00501,0.0071,Mitochondrion
A0A8I6A272,Raph1,-0.02169,-0.01019,Cytoskeleton
A0A8I6A2A6,Afg2a,-0.01164,-0.00246,Other
A0A8I6A2B1,Carmil1,-0.01578,-0.00227,Cytoskeleton
A0A8I6A2I6,Frrs1,-0.00424,0.01449,Other
A0A8I6A2K9,Hscb,3e-4,0.00181,Mitochondrion
A0A8I6A2N3,Mycbp2,-0.01066,0.02421,Cytoskeleton
A0A8I6A2P1,Srsf3,-0.01732,0.01589,Nucleus
A0A8I6A2Y2,Srrm2,-0.01675,-0.00193,Nucleus
A0A8I6A2Z6,Thumpd3,-0.02284,0.01262,Nucleus
A0A8I6A305,Dpp8,-0.00703,0.01093,Other
A0A8I6A320;G3V7P6,Nudt16;Nudt16l1,-0.00332,0.00441,Other
A0A8I6A343,Tmt1a,0.02093,0.0027,Other
A0A8I6A356,Ube2k,0.02313,-0.00789,Cytoskeleton
A0A8I6A378,Eif4g3,0.02417,2.4e-4,Other
A0A8I6A3C7,Snx9,0.02322,-0.0046,Cytoskeleton
A0A8I6A3T5,Mrpl58,-0.00287,-0.01076,Mitochondrion
A0A8I6A3U5,Dnajb2,-0.02132,0.00364,Nucleus
A0A8I6A3Z5,Uba2,0.00509,0.00474,Nucleus
